"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"31.12.2019","59,8700","59,8700","59,8750","59,8700","-0,02%"
"30.12.2019","59,8800","59,8250","59,9700","59,8200","0,10%"
"27.12.2019","59,8200","59,8400","59,9500","59,8200","0,03%"
"26.12.2019","59,8030","59,7740","60,1130","59,6540","0,19%"
"25.12.2019","59,6900","59,6900","59,6900","59,6900","0,00%"
"24.12.2019","59,6900","59,8150","59,9600","59,5360","-0,40%"
"23.12.2019","59,9305","59,7585","60,1105","59,7585","0,33%"
"20.12.2019","59,7330","59,7700","59,9250","59,7320","-0,02%"
"19.12.2019","59,7425","59,6365","59,9275","59,6365","-0,02%"
"18.12.2019","59,7535","59,7565","60,0445","59,7535","0,02%"
"17.12.2019","59,7445","59,7435","60,0325","59,7435","0,01%"
"16.12.2019","59,7400","59,6450","59,8500","59,6100","-0,05%"
"13.12.2019","59,7705","59,7675","60,0555","59,7665","0,05%"
"12.12.2019","59,7385","59,7455","59,9265","59,6775","-0,01%"
"11.12.2019","59,7425","59,8505","59,9405","59,7425","0,00%"
"10.12.2019","59,7425","59,9375","59,9925","59,4755","-0,30%"
"09.12.2019","59,9200","59,4780","59,9750","59,4780","0,06%"
"06.12.2019","59,8840","59,9150","60,0900","59,8840","-0,14%"
"05.12.2019","59,9650","59,8150","59,9850","59,7030","0,24%"
"04.12.2019","59,8230","59,8550","60,0450","59,8230","-0,01%"
"03.12.2019","59,8305","59,9305","60,0505","59,5685","-0,10%"
"02.12.2019","59,8930","59,8430","60,0930","59,8430","-0,05%"
"29.11.2019","59,9250","59,6150","59,9250","59,6150","0,25%"
"28.11.2019","59,7750","59,7750","59,7750","59,7750","-0,23%"
"27.11.2019","59,9100","59,8100","59,9100","59,4780","0,13%"
"26.11.2019","59,8325","59,5335","59,9075","59,4755","0,32%"
"25.11.2019","59,6400","59,7300","59,8640","59,6400","-0,25%"
"22.11.2019","59,7900","59,4780","59,8050","59,4780","-0,02%"
"21.11.2019","59,8000","59,4780","59,8450","59,4780","0,23%"
