date,item,average_kg_price
14-08-2019,ARANDANO,290.0
14-08-2019,BANANA,40.94199999999999
14-08-2019,CIRUELA,122.22
14-08-2019,DURAZNO,156.25
14-08-2019,FRUTILLA,101.30499999999999
14-08-2019,GRANADA,48.0
14-08-2019,KIWI,82.189
14-08-2019,LIMA,65.0
14-08-2019,LIMON,11.187777777777777
14-08-2019,MAMON,100.0
14-08-2019,MANDARINA,11.665714285714285
14-08-2019,MANGO,102.5
14-08-2019,MANI,85.0
14-08-2019,MANZANA,34.39805555555556
14-08-2019,MBURUCUYA,123.875
14-08-2019,MELON,71.82000000000001
14-08-2019,NARANJA,11.642857142857142
14-08-2019,NUEZ,117.0
14-08-2019,PALTA,157.68583333333333
14-08-2019,PERA,26.763749999999998
14-08-2019,PLATANO,78.85
14-08-2019,POMELO,14.167499999999999
14-08-2019,SANDIA,27.0
14-08-2019,UVA,87.5
29-08-2019,ANANA,91.66499999999999
29-08-2019,ARANDANO,345.0
29-08-2019,BANANA,42.39
29-08-2019,CIRUELA,121.11000000000001
29-08-2019,DURAZNO,156.25
29-08-2019,FRUTILLA,105.95833333333333
29-08-2019,GRANADA,61.0
29-08-2019,KIWI,93.444
29-08-2019,KUMQUAT,24.665
29-08-2019,LIMA,51.5
29-08-2019,LIMON,10.669999999999998
29-08-2019,MAMON,81.25
29-08-2019,MANDARINA,11.388333333333334
29-08-2019,MANGO,110.0
29-08-2019,MANI,79.0
29-08-2019,MANZANA,40.7875
29-08-2019,MBURUCUYA,85.8325
29-08-2019,MELON,64.41666666666667
29-08-2019,NARANJA,10.9375
29-08-2019,PALTA,226.09375
29-08-2019,PERA,31.36125
29-08-2019,PLATANO,57.58500000000001
29-08-2019,POMELO,16.77
29-08-2019,SANDIA,28.5
29-08-2019,UVA,184.375
25-01-2019,ANANA,53.5
25-01-2019,ARANDANO,220.0
25-01-2019,BANANA,26.274285714285714
25-01-2019,CEREZA,115.44500000000001
25-01-2019,CIRUELA,35.71846153846154
25-01-2019,COCO,79.0
25-01-2019,DAMASCO,34.5
25-01-2019,DURAZNO,35.755625
25-01-2019,FRAMBUESA,370.0
25-01-2019,FRUTILLA,73.66666666666667
25-01-2019,HIGO,80.0
25-01-2019,KIWI,75.66642857142857
25-01-2019,LIMA,75.0
25-01-2019,LIMON,18.778125000000003
25-01-2019,LITCHIS,212.5
25-01-2019,MAMON,56.167500000000004
25-01-2019,MANDARINA,13.055
25-01-2019,MANGO,67.375
25-01-2019,MANI,62.0
25-01-2019,MANZANA,37.669666666666664
25-01-2019,MBURUCUYA,102.0
25-01-2019,MELON,31.727142857142862
25-01-2019,MORA,210.0
25-01-2019,NARANJA,21.205000000000002
25-01-2019,NUEZ,114.0
25-01-2019,PALTA,119.25
25-01-2019,PELON,35.364374999999995
25-01-2019,PERA,20.18722222222222
25-01-2019,PITAHAYA,255.0
25-01-2019,PLATANO,76.66499999999999
25-01-2019,POMELO,27.439
25-01-2019,SANDIA,9.833333333333334
25-01-2019,TUNA,40.0
25-01-2019,UVA,36.69416666666667
22-01-2019,ANANA,53.5
22-01-2019,ARANDANO,218.33333333333334
22-01-2019,BANANA,26.17357142857143
22-01-2019,CEREZA,116.13400000000001
22-01-2019,CIRUELA,36.01625
22-01-2019,COCO,78.0
22-01-2019,DAMASCO,36.0
22-01-2019,DURAZNO,36.24970588235294
22-01-2019,FRAMBUESA,360.0
22-01-2019,FRUTILLA,68.0
22-01-2019,HIGO,82.5
22-01-2019,KIWI,73.0
22-01-2019,LIMA,75.0
22-01-2019,LIMON,18.728749999999998
22-01-2019,LITCHIS,217.5
22-01-2019,MAMON,56.835
22-01-2019,MANDARINA,13.055
22-01-2019,MANGO,67.625
22-01-2019,MANI,62.0
22-01-2019,MANZANA,38.17964285714286
22-01-2019,MBURUCUYA,102.0
22-01-2019,MELON,31.715
22-01-2019,MORA,210.0
22-01-2019,NARANJA,21.856875
22-01-2019,NUEZ,114.0
22-01-2019,PALTA,119.0
22-01-2019,PELON,35.0
22-01-2019,PERA,20.15625
22-01-2019,PLATANO,77.0
22-01-2019,POMELO,27.502
22-01-2019,SANDIA,8.166666666666666
22-01-2019,TUNA,77.0
22-01-2019,UVA,37.917
19-03-2019,ANANA,55.332499999999996
19-03-2019,BANANA,30.686666666666667
19-03-2019,CEREZA,175.0
19-03-2019,CIRUELA,37.0085
19-03-2019,COCO,96.0
19-03-2019,DURAZNO,37.34708333333333
19-03-2019,FRUTILLA,101.0
19-03-2019,GRANADA,66.75
19-03-2019,HIGO,97.5
19-03-2019,KIWI,78.5
19-03-2019,LIMA,81.67
19-03-2019,LIMON,13.44375
19-03-2019,MAMON,56.1875
19-03-2019,MANDARINA,15.3375
