date,item,average_kg_price
16-08-2019,ACELGA,12.221666666666666
16-08-2019,ACHICORIA,11.5
16-08-2019,ACUSAY,13.0
16-08-2019,AJO,113.056
16-08-2019,ALBAHACA,15.0
16-08-2019,APIO,25.625
16-08-2019,ARVEJA,29.875
16-08-2019,BATATA,18.25
16-08-2019,BERENJENA,59.028333333333336
16-08-2019,BERRO,30.0
16-08-2019,BROCOLI,24.0
16-08-2019,BROTE SOJA,80.0
16-08-2019,CEB.VERDEO,26.666666666666668
16-08-2019,CEBOLLA,30.178571428571427
16-08-2019,CHAUCHA,96.66666666666667
16-08-2019,CHOCLO,101.6675
16-08-2019,CIBOULLE,135.0
16-08-2019,COLIFLOR,19.165
16-08-2019,CURCUMA,51.0
16-08-2019,ESCAROLA,21.0
16-08-2019,ESPARRAGO,180.0
16-08-2019,ESPINACA,26.0
16-08-2019,HINOJO,8.33
16-08-2019,HONGOS,265.0
16-08-2019,JENGIBRE,90.0
16-08-2019,KALE,52.5
16-08-2019,LECHUGA,27.741499999999995
16-08-2019,MANDIOCA,10.625
16-08-2019,MENTA,125.0
16-08-2019,OREGANO,130.0
16-08-2019,PACK CHOY,33.335
16-08-2019,PAPA,11.492857142857144
16-08-2019,PEPINO,48.75
16-08-2019,PEREJIL,27.5
16-08-2019,PIMIENTO,79.53846153846153
16-08-2019,PUERRO,30.0
16-08-2019,RABANITO,26.0
16-08-2019,RADICCHIO,83.33500000000001
16-08-2019,RADICHETA,43.332499999999996
16-08-2019,REMOLACHA,11.553333333333333
16-08-2019,REP.BRUSEL,55.0
16-08-2019,REPOLLO,6.6675
16-08-2019,ROMERO,120.0
16-08-2019,RUCULA,70.0
16-08-2019,TOMATE,26.9852
16-08-2019,TOMILLO,135.0
16-08-2019,ZANAHORIA,10.51375
16-08-2019,ZAPALLITO,44.097500000000004
16-08-2019,ZAPALLO,13.308571428571428
07-11-2019,ACELGA,19.611666666666668
07-11-2019,ACHICORIA,11.5
07-11-2019,ACUSAY,22.0
07-11-2019,AJO,110.056875
07-11-2019,ALBAHACA,13.0
07-11-2019,ALCAUCIL,26.875
07-11-2019,APIO,34.375
07-11-2019,ARVEJA,93.75
07-11-2019,BATATA,27.835
07-11-2019,BERENJENA,42.18875
07-11-2019,BERRO,30.0
07-11-2019,BROCOLI,31.0
07-11-2019,BROTE SOJA,90.0
07-11-2019,CEB.VERDEO,60.0
07-11-2019,CEBOLLA,18.25
07-11-2019,CHAUCHA,82.29166666666667
07-11-2019,CHOCLO,26.1675
07-11-2019,CIBOULLE,120.0
07-11-2019,CILANDRO,110.0
07-11-2019,COLIFLOR,15.670000000000002
07-11-2019,CURCUMA,55.0
07-11-2019,ENDIBIA,48.0
07-11-2019,ESCAROLA,28.0
07-11-2019,ESPARRAGO,43.0
07-11-2019,ESPINACA,41.0
07-11-2019,HABA,15.0
07-11-2019,HINOJO,13.665
07-11-2019,HONGOS,325.0
07-11-2019,JENGIBRE,92.5
07-11-2019,KALE,70.0
07-11-2019,LECHUGA,33.66625
07-11-2019,MANDIOCA,18.75
07-11-2019,MENTA,110.0
07-11-2019,OREGANO,110.0
07-11-2019,PACK CHOY,38.33
07-11-2019,PAPA,13.239999999999998
07-11-2019,PEPINO,28.625
07-11-2019,PEREJIL,54.75
07-11-2019,PIMIENTO,64.64
07-11-2019,PUERRO,32.75
07-11-2019,RABANITO,26.0
07-11-2019,RADICCHIO,94.0
07-11-2019,RADICHETA,32.5
07-11-2019,REMOLACHA,9.0
07-11-2019,REPOLLO,8.778333333333334
07-11-2019,ROMERO,110.0
07-11-2019,RUCULA,110.0
07-11-2019,TOMATE,31.8104347826087
07-11-2019,TOMILLO,110.0
07-11-2019,ZANAHORIA,15.4175
07-11-2019,ZAPALLITO,20.0275
07-11-2019,ZAPALLO,28.83666666666667
11-01-2019,ACELGA,9.719999999999999
11-01-2019,ACUSAY,13.5
11-01-2019,AJO,87.84375
11-01-2019,ALBAHACA,9.0
11-01-2019,APIO,40.0
11-01-2019,ARVEJA,20.5
11-01-2019,BATATA,27.093333333333334
11-01-2019,BERENJENA,10.75
